unix_ms,event_type,title,description,x,y,z
1742690163536,Activation,,,,,
1742690163536,Anchor,Left,Center,720,792,60
1742690163536,Anchor,Left,Top Left,481.6771,911.1615,60
1742690163536,Anchor,Left,Top Right,958.323,911.1615,60
1742690163536,Anchor,Left,Bottom Left,481.6771,672.8385,60
1742690163536,Anchor,Right,Center,720,792,60
1742690163536,Anchor,Right,Top Left,481.6771,911.1615,60
1742690163536,Anchor,Right,Top Right,958.323,911.1615,60
1742690163536,Anchor,Right,Bottom Left,481.6771,672.8385,60
1742690163536,Anchor,Center,Center,720,792,60
1742690163536,Anchor,Center,Top Left,481.6771,911.1615,60
1742690163536,Anchor,Center,Top Right,958.323,911.1615,60
1742690163536,Anchor,Center,Bottom Left,481.6771,672.8385,60
1742690181652,Deactivate,,,,,
